Gene,C,Z,Pval,FDR
Il1r2,0.08354391732272107,9.288092,7.853964393197509e-21,4.553534412235859e-20
Aqp9,0.03684309129080376,9.173342,2.2928891650831035e-20,1.3214399806212098e-19
Ctsl,0.07025126666462768,9.173182,2.296300741518769e-20,1.3214399806212098e-19
Fam212a,0.050279882382326405,9.033975,8.277354200370121e-20,4.745683074878869e-19
Itgb3,0.042537210241041394,8.997649,1.1530116021760283e-19,6.586206495086686e-19
Ifit3,0.04634637207276967,8.980069,1.3529830711544548e-19,7.7000654196584415e-19
Slc7a11,0.06974177814098469,8.973238,1.4396154890081723e-19,8.163094421189196e-19
Crip1,0.04384293405613395,8.856764,4.118539194983045e-19,2.3268243335159686e-18
Gadd45a,0.05895681158089675,8.820963,5.673980439341324e-19,3.1939351709455895e-18
Tmem176a,0.046179544815610096,8.818022,5.824980123084735e-19,3.267054069034482e-18
Metrnl,0.040356240063304995,8.8166275,5.897942933789328e-19,3.296034534839668e-18
Vamp5,0.04054656047930928,8.734017,1.2289167166319123e-18,6.843032652324461e-18
Crispld1,0.03075601894656987,8.721324,1.3748373214154835e-18,7.628129654305264e-18
C3,0.10876633665966133,8.602448,3.901659846079998e-18,2.1511356801857088e-17
Arx,0.03339665063388404,8.602355,3.904839316099381e-18,2.1511356801857088e-17
Cd300lf,0.10159765054954063,8.589074,4.38364689537452e-18,2.406342338311971e-17
Homer2,0.055575831005110786,8.551232,6.0890602338830155e-18,3.3306944318201085e-17
Cdh17,0.04904762810457632,8.528777,7.395141359910858e-18,4.030872825754228e-17
Gm12250,0.03824812584843854,8.497389,9.695152025443494e-18,5.265998363293519e-17
Ccr5,0.13700638302693938,8.477375,1.1516577749052699e-17,6.233448376060691e-17
Dntt,0.03809261371396973,8.429047,1.742463524973115e-17,9.398374692189484e-17
Camk2a,0.03056237781250801,8.424542,1.8108137838057493e-17,9.733124087955902e-17
Gcsam,0.03883623834454389,8.421355,1.8607696765865387e-17,9.967029271127896e-17
1500012F01Rik,0.054887472062098895,8.408703,2.0728496441796642e-17,1.1064728445483173e-16
Tmem215,0.03420931696863503,8.348775,3.4487321535866166e-17,1.8345832899491691e-16
Hsd11b1,0.13729957594478345,8.297838,5.3011463616775043e-17,2.8103337561221837e-16
